Species,Block,Latitude,Longitude,AddressAccuracy,WnvPresent,Tmax,Tmin,Tavg,DewPoint,WetBulb,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Month,Day,Tavg_Lag7,DewPoint_Lag7,WetBulb_Lag7,PrecipTotal_Lag7,SeaLevel_Lag7,Tavg_Lag14,DewPoint_Lag14,WetBulb_Lag14,PrecipTotal_Lag14,SeaLevel_Lag14,Tavg_Lag21,DewPoint_Lag21,WetBulb_Lag21,PrecipTotal_Lag21,SeaLevel_Lag21,Tavg_Lag28,DewPoint_Lag28,WetBulb_Lag28,PrecipTotal_Lag28,SeaLevel_Lag28,Tavg_Lag35,DewPoint_Lag35,WetBulb_Lag35,PrecipTotal_Lag35,SeaLevel_Lag35
CULEX PIPIENS/RESTUANS,21,41.919343,-87.694259,8,0,88,60,74,58,65,0.00,29.39,30.11,5.8,18,6.5,5,29,74.0,58.0,65.0,0.00,30.11,,,,,,,,,,,,,,,,,,,,
CULEX PIPIENS/RESTUANS,22,41.921965,-87.632085,8,0,88,60,74,58,65,0.00,29.39,30.11,5.8,18,6.5,5,29,74.0,58.0,65.0,0.00,30.11,,,,,,,,,,,,,,,,,,,,
CULEX RESTUANS,22,41.921965,-87.632085,8,0,88,60,74,58,65,0.00,29.39,30.11,5.8,18,6.5,5,29,74.0,58.0,65.0,0.00,30.11,,,,,,,,,,,,,,,,,,,,
CULEX PIPIENS/RESTUANS,22,41.688324,-87.676709,8,0,88,60,74,58,65,0.00,29.39,30.11,5.8,18,6.5,5,29,74.0,58.0,65.0,0.00,30.11,,,,,,,,,,,,,,,,,,,,
CULEX RESTUANS,22,41.688324,-87.676709,8,0,88,60,74,58,65,0.00,29.39,30.11,5.8,18,6.5,5,29,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,,,,,,,,,,,,,,,
CULEX RESTUANS,11,41.862292,-87.64886,8,0,88,60,74,58,65,0.00,29.39,30.11,5.8,18,6.5,5,29,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,,,,,,,,,,,,,,,
CULEX RESTUANS,17,41.720848,-87.666014,9,0,88,60,74,58,65,0.00,29.39,30.11,5.8,18,6.5,5,29,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,,,,,,,,,,,,,,,
CULEX RESTUANS,22,41.731922,-87.677512,8,0,88,60,74,58,65,0.00,29.39,30.11,5.8,18,6.5,5,29,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,,,,,,,,,,,,,,,
CULEX PIPIENS,22,41.731922,-87.677512,8,0,88,60,74,58,65,0.00,29.39,30.11,5.8,18,6.5,5,29,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,,,,,,,,,,,,,,,
CULEX PIPIENS/RESTUANS,53,41.891126,-87.61156,5,0,88,60,74,58,65,0.00,29.39,30.11,5.8,18,6.5,5,29,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,,,,,,,,,,,,,,,
CULEX RESTUANS,53,41.891126,-87.61156,5,0,88,60,74,58,65,0.00,29.39,30.11,5.8,18,6.5,5,29,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,,,,,,,,,,,,,,,
CULEX PIPIENS/RESTUANS,65,41.999129,-87.795585,8,0,88,60,74,58,65,0.00,29.39,30.11,5.8,18,6.5,5,29,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,,,,,,,,,,
CULEX PIPIENS/RESTUANS,75,42.01743,-87.687769,8,0,88,60,74,58,65,0.00,29.39,30.11,5.8,18,6.5,5,29,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,,,,,,,,,,
CULEX RESTUANS,15,41.907645,-87.760886,8,0,88,60,74,58,65,0.00,29.39,30.11,5.8,18,6.5,5,29,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,,,,,,,,,,
CULEX RESTUANS,89,41.732984,-87.649642,8,0,88,60,74,58,65,0.00,29.39,30.11,5.8,18,6.5,5,29,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,,,,,,,,,,
CULEX PIPIENS/RESTUANS,41,41.95469,-87.800991,9,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,,,,,,,,,,
CULEX RESTUANS,41,41.95469,-87.800991,9,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,,,,,,,,,,
CULEX PIPIENS,41,41.95469,-87.800991,9,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,,,,,,,,,,
CULEX PIPIENS/RESTUANS,79,41.974089,-87.824812,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,,,,,
CULEX RESTUANS,79,41.974089,-87.824812,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,,,,,
CULEX PIPIENS/RESTUANS,15,41.9216,-87.666455,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,,,,,
CULEX RESTUANS,15,41.9216,-87.666455,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,,,,,
CULEX PIPIENS,15,41.9216,-87.666455,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,,,,,
CULEX RESTUANS,25,41.891118,-87.654491,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,,,,,
CULEX PIPIENS/RESTUANS,11,41.867108,-87.654224,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,,,,,
CULEX RESTUANS,11,41.867108,-87.654224,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11
CULEX PIPIENS,11,41.867108,-87.654224,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11
CULEX RESTUANS,11,41.896282,-87.655232,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11
CULEX PIPIENS/RESTUANS,21,41.919343,-87.694259,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11
CULEX RESTUANS,21,41.919343,-87.694259,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11
CULEX RESTUANS,22,41.921965,-87.632085,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11
CULEX RESTUANS,22,41.688324,-87.676709,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11
CULEX PIPIENS/RESTUANS,17,41.720848,-87.666014,9,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11
CULEX PIPIENS/RESTUANS,22,41.731922,-87.677512,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11
CULEX RESTUANS,22,41.731922,-87.677512,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11
CULEX PIPIENS,22,41.731922,-87.677512,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11
CULEX PIPIENS/RESTUANS,65,41.999129,-87.795585,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11
CULEX RESTUANS,65,41.999129,-87.795585,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11
CULEX RESTUANS,15,41.907645,-87.760886,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11
CULEX RESTUANS,89,41.732984,-87.649642,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11
CULEX RESTUANS,91,41.981964,-87.812827,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11
CULEX RESTUANS,36,41.944869,-87.832763,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11
CULEX RESTUANS,72,42.011601,-87.811506,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,74.0,58.0,65.0,0.00,30.11,74.0,58.0,65.0,0.00,30.11
CULEX RESTUANS,38,41.94983,-87.698457,9,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,74.0,58.0,65.0,0.00,30.11
CULEX RESTUANS,49,41.979243,-87.750938,9,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,74.0,58.0,65.0,0.00,30.11
CULEX RESTUANS,58,41.986921,-87.689778,9,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,74.0,58.0,65.0,0.00,30.11
CULEX PIPIENS/RESTUANS,50,41.801498,-87.763416,9,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,74.0,58.0,65.0,0.00,30.11
CULEX RESTUANS,14,41.906638,-87.701431,9,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,74.0,58.0,65.0,0.00,30.11
CULEX RESTUANS,10,41.723195,-87.64997,5,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,74.0,58.0,65.0,0.00,30.11
CULEX PIPIENS/RESTUANS,11,41.868077,-87.666901,9,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,74.0,58.0,65.0,0.00,30.11
CULEX RESTUANS,11,41.868077,-87.666901,9,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79
CULEX PIPIENS/RESTUANS,11,41.869216,-87.627561,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79
CULEX PIPIENS/RESTUANS,42,41.662014,-87.724608,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79
CULEX RESTUANS,42,41.662014,-87.724608,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79
CULEX PIPIENS,42,41.662014,-87.724608,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79
CULEX PIPIENS/RESTUANS,53,41.961743,-87.76007,9,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79
CULEX RESTUANS,53,41.961743,-87.76007,9,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79
CULEX PIPIENS/RESTUANS,40,41.953067,-87.776792,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79
CULEX RESTUANS,40,41.953067,-87.776792,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79
CULEX RESTUANS,43,41.878114,-87.629798,3,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79
CULEX PIPIENS/RESTUANS,42,41.958271,-87.702575,9,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79
CULEX RESTUANS,42,41.958271,-87.702575,9,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79
CULEX RESTUANS,28,41.932094,-87.700117,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79
CULEX PIPIENS/RESTUANS,15,41.994469,-87.667736,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79
CULEX RESTUANS,18,42.006858,-87.675919,9,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79
CULEX PIPIENS/RESTUANS,70,41.916265,-87.800515,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79
CULEX RESTUANS,70,41.916265,-87.800515,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79
CULEX RESTUANS,25,41.846075,-87.716277,9,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79
CULEX RESTUANS,21,41.918705,-87.752329,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79
CULEX PIPIENS/RESTUANS,35,41.682587,-87.707973,9,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79
CULEX RESTUANS,35,41.682587,-87.707973,9,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79
CULEX PIPIENS/RESTUANS,93,41.725517,-87.614258,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79
CULEX PIPIENS/RESTUANS,37,41.948167,-87.730698,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79
CULEX RESTUANS,37,41.948167,-87.730698,8,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79
CULEX RESTUANS,45,41.963976,-87.69181,9,0,64,47,56,48,51,0.42,29.1,29.79,5.2,5,7.6,6,5,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79
CULEX PIPIENS/RESTUANS,41,41.95469,-87.800991,9,0,92,70,81,69,72,0.16,29.39,30.11,6.1,22,7.1,6,26,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79
CULEX RESTUANS,41,41.95469,-87.800991,9,0,92,70,81,69,72,0.16,29.39,30.11,6.1,22,7.1,6,26,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79
CULEX SALINARIUS,41,41.95469,-87.800991,9,0,92,70,81,69,72,0.16,29.39,30.11,6.1,22,7.1,6,26,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79,56.0,48.0,51.0,0.42,29.79
