Date,Station,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
2007-06-26,1,92,70,81,10,69,72,0,16,1931,1931,TSRA BR HZ VCTS,0,M,0.0,0.16,29.39,30.11,6.1,22,7.1
2007-06-27,1,91,71,81,10,70,72,0,16,1931,1931,TSRA,0,M,0.0,0.15,29.29,30.02,7.5,24,8.8
2007-06-28,1,74,58,66,-5,55,60,0,1,1931,1931, ,0,M,0.0,0.00,29.41,30.09,11.9,3,12.5
2007-06-29,1,70,56,63,-8,55,59,2,0,1931,1931, ,0,M,0.0,0.00,29.41,30.13,7.6,2,8.3
2007-06-30,1,79,54,67,-5,46,56,0,2,1931,1931, ,0,M,0.0,0.00,29.41,30.13,4.9,3,5.8
2007-07-01,1,75,54,65,-7,52,58,0,0,1931,1931, ,0,M,0.0,0.00,29.51,30.23,8.6,4,8.6
2007-07-02,1,79,53,66,-6,50,58,0,1,1931,1931, ,0,M,0.0,0.00,29.49,30.22,5.9,14,8.1
2007-07-03,1,83,60,72, 0,57,63,0,7,1931,1931,TSRA RA BR,0,M,0.0,0.40,29.31,30.06,6.7,21,7.3
2007-07-04,1,86,67,77, 5,65,69,0,12,1930,1930,TSRA BR HZ FU,0,M,0.0,0.16,29.18,29.9,4.6,27,8.2
2007-07-05,1,89,71,80, 8,60,67,0,15,1930,1930,BR HZ FU,0,M,0.0,0.00,29.24,29.94,6.4,31,8.1
2007-07-06,1,86,66,76, 4,57,64,0,11,1930,1930, ,0,M,0.0,0.00,29.32,30.03,3.2,5,5.5
2007-07-07,1,90,64,77, 5,63,69,0,12,1930,1930, ,0,M,0.0,0.00,29.18,29.91,8.4,22,8.6
2007-07-08,1,94,75,85,12,67,72,0,20,1929,1929, ,0,M,0.0,0.00,29.05,29.77,12.9,24,13.1
2007-07-09,1,94,70,82, 9,66,70,0,17,1929,1929,TSRA RA VCTS,0,M,0.0,0.30,29.11,29.8,4.9,24,8.8
2007-07-10,1,89,69,79, 6,67,70,0,14,1929,1929,HZ VCTS,0,M,0.0,0.43,29.06,29.77,8.6,23,10.5
2007-07-11,1,77,62,70,-3,51,59,0,5,1928,1928, ,0,M,0.0,0.00,29.23,29.93,8.8,30,10.9
2007-07-12,1,80,61,71,-2,51,59,0,6,1928,1928, ,0,M,0.0,0.00,29.22,29.93,9.4,29,11.1
2007-07-13,1,78,58,68,-5,52,58,0,3,1927,1927, ,0,M,0.0,0.00,29.26,29.98,1.4,1,5.3
2007-07-14,1,84,61,73, 0,55,62,0,8,1927,1927, ,0,M,0.0,0.00,29.08,29.79,8.3,26,13.2
2007-07-15,1,82,60,71,-3,53,61,0,6,1926,1926, ,0,M,0.0,0.00,29.19,29.89,2.1,29,4.9
2007-07-16,1,82,65,74, 0,60,65,0,9,1925,1925,RA BR,0,M,0.0,0.39,29.25,29.96,4.4,24,5.2
2007-07-17,1,83,68,76, 2,66,69,0,11,1925,1925,RA BR VCTS,0,M,0.0,0.11,29.18,29.9,5.2,23,6.5
2007-07-18,1,85,69,77, 3,68,71,0,12,1924,1924,TSRA RA BR VCTS,0,M,0.0,1.55,29.11,29.84,9.1,24,10.1
2007-07-19,1,83,63,73,-1,63,66,0,8,1923,1923,DZ BR,0,M,0.0,0.16,29.21,29.9,7.0,1,11.9
2007-07-20,1,75,58,67,-7,53,59,0,2,1923,1923, ,0,M,0.0,0.00,29.44,30.14,8.6,3,9.1
2007-07-21,1,74,58,66,-8,52,58,0,1,1922,1922, ,0,M,0.0,0.00,29.51,30.22,6.5,3,7.4
2007-07-22,1,81,58,70,-4,55,61,0,5,1921,1921, ,0,M,0.0,0.00,29.49,30.21,1.7,16,3.3
2007-07-23,1,83,60,72,-2,55,63,0,7,1920,1920, ,0,M,0.0,0.00,29.37,30.1,3.2,9,4.0
2007-07-24,1,82,65,74, 0,58,64,0,9,1919,1919, ,0,M,0.0,0.00,29.32,30.04,3.1,20,5.2
2007-07-25,1,85,71,78, 4,61,67,0,13,1918,1918, ,0,M,0.0,  T,29.29,30.0,5.8,25,6.6
2007-07-26,1,83,66,75, 1,65,68,0,10,1918,1918,TS TSRA RA BR HZ,0,M,0.0,0.19,29.19,29.92,7.2,22,9.4
2007-07-27,1,83,70,77, 3,68,70,0,12,1917,1917,RA BR HZ,0,M,0.0,0.17,29.11,29.82,3.0,3,7.9
2007-07-28,1,80,66,73,-1,65,68,0,8,1916,1916,BR HZ,0,M,0.0,0.00,29.23,29.93,10.0,3,10.2
2007-07-29,1,85,63,74, 0,57,64,0,9,1915,1915, ,0,M,0.0,0.00,29.28,29.99,4.8,5,5.7
2007-07-30,1,89,62,76, 2,55,64,0,11,1914,1914, ,0,M,0.0,0.00,29.33,30.03,3.8,6,4.3
2007-07-31,1,91,68,80, 6,61,68,0,15,1913,1913, ,0,M,0.0,0.00,29.33,30.04,3.3,4,4.9
2007-08-01,1,92,69,81, 8,62,69,0,16,1911,1911,HZ,0,M,0.0,0.00,29.29,30.0,3.5,9,4.1
2007-08-02,1,91,70,81, 8,66,71,0,16,1910,1910,HZ,0,M,0.0,0.00,29.26,29.97,5.5,26,5.9
2007-08-03,1,90,69,80, 7,56,66,0,15,1909,1909, ,0,M,0.0,0.00,29.31,30.02,2.7,3,5.7
2007-08-04,1,81,64,73, 0,58,64,0,8,1908,1908,RA,0,M,0.0,0.03,29.31,30.03,5.7,8,6.1
2007-08-05,1,88,67,78, 5,71,73,0,13,1907,1907,TSRA RA BR HZ,0,M,0.0,1.43,29.08,29.81,5.4,21,9.6
2007-08-06,1,88,74,81, 8,72,74,0,16,1906,1906,TSRA RA BR HZ,0,M,0.0,0.26,29.13,29.83,1.6,10,4.9
2007-08-07,1,91,72,82, 9,73,76,0,17,1904,1904,RA BR,0,M,0.0,1.31,29.06,29.76,6.2,25,9.0
2007-08-08,1,87,73,80, 7,71,73,0,15,1903,1903,TSRA RA BR,0,M,0.0,0.06,29.13,29.83,3.0,3,6.9
2007-08-09,1,84,72,78, 5,71,73,0,13,1902,1902,TSRA RA,0,M,0.0,0.05,29.13,29.84,2.5,29,6.0
2007-08-10,1,86,70,78, 5,68,72,0,13,1900,1900,BR,0,M,0.0,0.00,29.26,29.96,4.5,2,5.9
2007-08-11,1,89,67,78, 5,65,70,0,13,1859,1859,BR HZ,0,M,0.0,0.00,29.31,30.02,3.2,19,3.9
2007-08-12,1,88,67,78, 5,67,71,0,13,1858,1858,TSRA,0,M,0.0,0.29,29.34,30.06,1.7,6,5.4
2007-08-13,1,81,65,73, 0,57,64,0,8,1856,1856,BR,0,M,0.0,0.00,29.39,30.11,6.2,6,6.9
2007-08-14,1,84,65,75, 3,67,70,0,10,1855,1855,TS TSRA RA BR,0,M,0.0,0.41,29.23,29.93,5.9,25,8.0
2007-08-15,1,80,71,76, 4,67,70,0,11,1854,1854,TSRA RA BR,0,M,0.0,0.23,29.17,29.89,3.4,7,5.8
2007-08-16,1,77,65,71,-1,64,67,0,6,1852,1852,BR,0,M,0.0,0.00,29.28,29.97,3.6,1,5.7
2007-08-17,1,79,60,70,-2,54,61,0,5,1851,1851, ,0,M,0.0,0.00,29.41,30.1,5.9,32,6.8
2007-08-18,1,68,59,64,-8,54,58,1,0,1849,1849,RA,0,M,0.0,0.09,29.44,30.16,6.4,12,8.1
2007-08-19,1,68,62,65,-6,62,64,0,0,1848,1848,TS RA BR,0,M,0.0,1.33,29.24,29.99,6.0,10,7.4
2007-08-20,1,78,68,73, 2,68,69,0,8,1846,1846,TSRA RA BR,0,M,0.0,0.91,29.15,29.87,0.5,12,5.7
2007-08-21,1,87,69,78, 7,70,72,0,13,1845,1845,BR HZ,0,M,0.0,  T,29.21,29.91,3.8,18,6.0
2007-08-22,1,90,69,80, 9,71,73,0,15,1843,1843,TS TSRA RA,0,M,0.0,0.37,29.23,29.94,5.3,21,9.5
2007-08-23,1,87,69,78, 7,69,71,0,13,1842,1842,TS TSRA RA BR VCTS,0,M,0.0,2.35,29.15,29.87,9.6,21,11.7
2007-08-24,1,80,69,75, 4,67,69,0,10,1840,1840,TSRA RA,0,M,0.0,0.24,29.11,29.82,5.8,25,7.1
2007-08-25,1,79,64,72, 2,63,66,0,7,1839,1839,RA,0,M,0.0,0.34,29.23,29.93,3.0,36,5.6
2007-08-26,1,79,60,70, 0,55,61,0,5,1837,1837, ,0,M,0.0,0.00,29.38,30.08,3.6,11,5.4
2007-08-27,1,79,60,70, 0,60,64,0,5,1835,1835, ,0,M,0.0,0.00,29.36,30.07,6.5,17,7.4
2007-08-28,1,91,67,79, 9,66,70,0,14,1834,1834, ,0,M,0.0,0.00,29.28,29.99,9.0,20,9.5
2007-08-29,1,85,68,77, 7,65,69,0,12,1832,1832, ,0,M,0.0,  T,29.34,30.04,5.6,3,8.2
2007-08-30,1,75,57,66,-4,54,60,0,1,1831,1831, ,0,M,0.0,0.00,29.47,30.18,9.1,2,9.9
2007-08-31,1,77,57,67,-2,52,59,0,2,1829,1829, ,0,M,0.0,0.00,29.47,30.19,3.9,4,5.2
2007-09-01,1,81,57,69, 1,55,61,0,4,1827,1827, ,0,M,0.0,0.00,29.49,30.22,4.2,11,5.0
2007-09-02,1,85,61,73, 5,57,63,0,8,1826,1826, ,0,M,0.0,0.00,29.41,30.15,4.2,21,5.0
2007-09-03,1,88,66,77, 9,61,67,0,12,1824,1824, ,0,M,0.0,0.00,29.36,30.09,2.0,27,5.8
2007-09-04,1,89,63,76, 8,60,66,0,11,1822,1822, ,0,M,0.0,0.00,29.28,30.0,2.8,22,4.3
2007-09-05,1,90,66,78,11,63,69,0,13,1821,1821,RA,0,M,0.0,  T,29.24,29.96,6.4,19,6.5
2007-09-06,1,82,73,78,11,67,70,0,13,1819,1819,RA HZ,0,M,0.0,0.18,29.21,29.92,11.9,20,12.1
2007-09-07,1,84,70,77,10,68,70,0,12,1817,1817,TSRA RA BR HZ,0,M,0.0,0.19,29.15,29.85,10.4,23,13.9
2007-09-08,1,78,64,71, 5,57,63,0,6,1815,1815, ,0,M,0.0,0.00,29.3,30.0,6.0,5,7.2
2007-09-09,1,80,63,72, 6,59,63,0,7,1814,1814, ,0,M,0.0,0.00,29.36,30.06,9.2,3,9.9
2007-09-10,1,74,54,64,-2,58,60,1,0,1812,1812,RA BR,0,M,0.0,0.36,29.3,30.04,7.2,2,9.0
2007-09-11,1,71,50,61,-4,44,52,4,0,1810,1810, ,0,M,0.0,  T,29.2,29.92,11.7,29,13.5
2007-09-12,1,67,46,57,-8,42,49,8,0,1809,1809, ,0,M,0.0,0.00,29.4,30.12,1.8,3,5.6
2007-09-13,1,78,50,64,-1,45,54,1,0,1807,1807, ,0,M,0.0,0.00,29.23,29.99,8.3,19,8.5
2007-09-14,1,66,45,56,-8,39,48,9,0,1805,1805, ,0,M,0.0,0.00,29.36,30.05,12.1,32,13.4
2007-09-15,1,61,39,50,-14,33,43,15,0,1803,1803, ,0,M,0.0,0.00,29.56,30.28,1.4,33,5.9
2007-09-16,1,71,44,58,-6,40,49,7,0,1760,1760, ,0,M,0.0,0.00,29.46,30.19,6.8,18,7.4
2007-09-17,1,80,52,66, 2,49,57,0,1,1758,1758, ,0,M,0.0,0.00,29.39,30.12,11.7,17,12.1
2007-09-18,1,88,63,76,12,58,65,0,11,1756,1756, ,0,M,0.0,0.00,29.34,30.06,12.9,19,13.1
2007-09-19,1,84,65,75,12,59,65,0,10,1755,1755, ,0,M,0.0,0.00,29.41,30.11,5.0,26,9.7
2007-09-20,1,78,60,69, 7,59,63,0,4,1753,1753, ,0,M,0.0,0.00,29.39,30.12,5.3,7,6.6
2007-09-21,1,88,64,76,14,59,66,0,11,1751,1751,HZ,0,M,0.0,0.00,29.18,29.9,10.3,21,12.4
2007-09-22,1,74,51,63, 1,43,53,2,0,1749,1749, ,0,M,0.0,0.00,29.42,30.12,2.6,3,6.8
2007-09-23,1,84,50,67, 6,50,58,0,2,1748,1748, ,0,M,0.0,0.00,29.43,30.16,4.6,13,5.3
2007-09-24,1,90,68,79,18,63,68,0,14,1746,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
2007-09-25,1,85,63,74,13,65,69,0,9,1744,1744,TS RA,0,M,0.0,0.27,29.23,29.95,7.9,23,10.5
2007-09-26,1,69,53,61, 1,50,55,4,0,1742,1742,RA,0,M,0.0,0.09,29.31,30.03,4.3,1,6.6
2007-09-27,1,75,49,62, 2,49,55,3,0,1741,1741,BR,0,M,0.0,  T,29.26,29.97,4.9,24,6.5
2007-09-28,1,73,53,63, 4,46,53,2,0,1739,1739, ,0,M,0.0,0.00,29.47,30.17,2.3,4,7.1
2007-09-29,1,80,50,65, 6,46,55,0,0,1737,1737, ,0,M,0.0,0.00,29.5,30.23,9.5,17,9.8
2007-09-30,1,83,59,71,12,49,59,0,6,1735,1735,TSRA BR,0,M,0.0,0.14,29.36,30.1,14.4,19,14.6
2007-10-01,1,69,59,64, 6,59,61,1,0,1734,1734,RA DZ FG+ BCFG BR,0,M,0.0,0.29,29.28,30.0,6.1,22,8.1
2007-10-02,1,78,57,68,10,59,63,0,3,1732,1732,RA FG+ MIFG BR,0,M,0.0,0.09,29.18,29.92,10.8,19,11.1
2007-10-03,1,74,55,65, 8,48,56,0,0,1730,1730, ,0,M,0.0,0.00,29.28,29.98,5.9,26,7.1
2007-10-04,1,82,51,67,10,56,61,0,2,1729,1729,HZ,0,M,0.0,0.00,29.34,30.04,3.9,17,4.6
2007-10-05,1,84,62,73,16,65,68,0,8,1727,1727,HZ,0,M,0.0,0.00,29.36,30.08,7.0,17,7.0
2007-10-06,1,87,69,78,22,67,70,0,13,1725,1725, ,0,M,0.0,0.00,29.33,30.04,6.9,20,7.4
2007-10-07,1,87,67,77,21,66,70,0,12,1724,1724, ,0,M,0.0,0.00,29.31,30.03,5.2,19,5.9
2007-10-08,1,87,60,74,18,61,66,0,9,1722,1722, ,0,M,0.0,0.00,29.23,29.93,7.7,24,10.1
2007-10-09,1,76,49,63, 8,44,53,2,0,1720,1720, ,0,M,0.0,0.00,29.21,29.94,11.5,28,12.8
2007-10-10,1,54,47,51,-4,38,44,14,0,1719,1719,RA DZ,0,M,0.0,  T,29.21,29.93,15.1,31,15.5
2007-10-11,1,54,46,50,-4,39,45,15,0,1717,1717, ,0,M,0.0,0.00,29.28,30.01,11.9,36,12.9
2007-10-12,1,56,41,49,-5,35,43,16,0,1715,1715, ,0,M,0.0,0.00,29.28,30.02,3.4,35,4.6
2007-10-13,1,59,40,50,-3,41,47,15,0,1714,1714, ,0,M,0.0,0.00,29.31,30.04,2.7,20,3.5
2007-10-14,1,61,53,57, 4,49,53,8,0,1712,1712,RA,0,M,0.0,0.15,29.34,30.06,5.6,11,6.6
2007-10-15,1,74,51,63,10,52,57,2,0,1711,1711,RA BR,0,M,0.0,0.07,29.21,29.95,4.1,14,5.6
2007-10-16,1,67,52,60, 8,54,57,5,0,1709,1709,RA DZ BR,0,M,0.0,0.24,29.16,29.88,6.4,21,7.5
2007-10-17,1,72,47,60, 8,53,57,5,0,1707,1707,RA HZ,0,M,0.0,0.04,29.07,29.83,9.3,14,9.8
2007-10-18,1,78,59,69,18,56,61,0,4,1706,1706,RA BR,0,M,0.0,0.30,28.59,29.34,17.2,19,18.9
2007-10-19,1,60,52,56, 5,48,52,9,0,1704,1704,RA BR,0,M,0.0,0.01,28.75,29.44,16.2,24,16.7
2007-10-20,1,73,47,60,10,43,52,5,0,1703,1703, ,0,M,0.0,0.00,29.02,29.71,10.9,21,12.0
2007-10-21,1,80,60,70,20,47,57,0,5,1701,1701, ,0,M,0.0,0.00,29.08,29.78,18.0,20,18.2
2007-10-22,1,67,46,57, 7,47,50,8,0,1660,1660,RA DZ BR,0,M,0.0,0.16,29.26,29.97,5.2,36,9.2
2007-10-23,1,58,43,51, 2,36,44,14,0,1658,1658, ,0,M,0.0,0.00,29.2,29.93,5.2,31,8.2
2007-10-24,1,55,43,49, 0,35,42,16,0,1657,1657, ,0,M,0.0,0.00,29.46,30.16,13.3,2,14.5
2007-10-25,1,55,45,50, 2,39,46,15,0,1656,1656,RA,0,M,0.0,  T,29.47,30.2,13.9,6,14.1
2007-10-26,1,65,53,59,11,48,52,6,0,1654,1654,RA BR,0,M,0.0,0.33,29.31,30.07,6.2,5,6.9
2007-10-27,1,55,37,46,-2,38,45,19,0,1653,1653,RA BR,0,M,0.0,0.01,29.56,30.25,9.4,32,9.9
2007-10-28,1,56,34,45,-2,30,39,20,0,1651,1651, ,0,M,0.0,0.00,29.79,30.52,3.4,23,4.2
2007-10-29,1,61,39,50, 3,32,42,15,0,1650,1650, ,0,M,0.0,0.00,29.63,30.4,10.2,22,10.4
2007-10-30,1,66,41,54, 8,38,46,11,0,1649,1649, ,0,M,0.0,0.00,29.43,30.2,12.2,20,12.5
2007-10-31,1,62,41,52, 6,37,46,13,0,1647,1647, ,0,M,0.0,0.00,29.3,30.02,12.2,25,14.3
2008-05-01,1,74,48,61, 8,51,56,4,0,1849,1849, ,0,M,0.0,0.00,28.95,29.67,10.6,16,11.5
2008-05-02,1,74,51,63, 9,55,58,2,0,1850,1850,TSRA RA BR,0,M,0.0,1.28,28.79,29.53,13.8,20,15.1
2008-05-03,1,56,43,50,-4,41,46,15,0,1851,1851,RA,0,M,0.0,  T,29.01,29.69,10.4,25,12.7
2008-05-04,1,65,38,52,-2,34,45,13,0,1852,1852, ,0,M,0.0,0.00,29.31,30.02,5.6,24,6.3
2008-05-05,1,75,50,63, 8,38,50,2,0,1853,1853, ,0,M,0.0,0.00,29.27,29.99,4.4,26,7.0
2008-05-06,1,81,46,64, 9,44,55,1,0,1855,1855, ,0,M,0.0,0.00,29.16,29.88,6.3,22,7.1
2008-05-07,1,70,49,60, 5,52,56,5,0,1856,1856,RA BR,0,M,0.0,0.76,28.97,29.69,3.5,23,12.3
2008-05-08,1,59,45,52,-4,35,44,13,0,1857,1857, ,0,M,0.0,0.00,29.08,29.82,12.2,5,12.6
2008-05-09,1,58,41,50,-6,34,43,15,0,1858,1858, ,0,M,0.0,0.00,29.15,29.85,6.3,3,6.9
2008-05-10,1,61,38,50,-6,37,45,15,0,1859,1859, ,0,M,0.0,0.00,29.08,29.85,5.9,7,6.3
2008-05-11,1,58,46,52,-5,43,47,13,0,1860,1860,RA BR,0,M,0.0,0.95,28.85,29.55,14.5,2,17.7
2008-05-12,1,56,40,48,-9,38,43,17,0,1901,1901, ,0,M,0.0,0.00,29.26,29.96,5.1,7,7.8
2008-05-13,1,73,40,57,-1,45,51,8,0,1902,1902,TSRA RA,0,M,0.0,0.08,29.2,29.93,15.5,18,15.9
2008-05-14,1,64,45,55,-3,48,52,10,0,1903,1903,DZ BR,0,M,0.0,0.02,29.19,29.89,2.0,25,9.6
2008-05-15,1,57,43,50,-8,37,45,15,0,1904,1904, ,0,M,0.0,0.00,29.33,30.05,6.8,5,7.9
2008-05-16,1,73,40,57,-2,41,50,8,0,1905,1905, ,0,M,0.0,0.00,29.1,29.86,8.9,25,9.4
2008-05-17,1,73,52,63, 4,41,52,2,0,1906,1906,RA,0,M,0.0,0.12,28.87,29.61,12.9,30,14.7
2008-05-18,1,55,44,50,-10,39,45,15,0,1907,1907, ,0,M,0.0,0.00,28.93,29.64,3.5,34,8.2
2008-05-19,1,60,40,50,-10,33,43,15,0,1908,1908,RA,0,M,0.0,  T,28.96,29.69,3.9,7,5.7
2008-05-20,1,66,47,57,-4,37,47,8,0,1909,1909, ,0,M,0.0,0.00,28.94,29.66,7.3,31,9.2
2008-05-21,1,66,41,54,-7,36,46,11,0,1910,1910, ,0,M,0.0,0.00,29.0,29.7,7.2,32,9.2
2008-05-22,1,59,45,52,-9,38,45,13,0,1911,1911, ,0,M,0.0,0.00,29.24,29.94,8.8,5,9.8
2008-05-23,1,57,46,52,-9,39,45,13,0,1912,1912, ,0,M,0.0,0.00,29.41,30.12,10.7,3,10.9
2008-05-24,1,67,40,54,-8,40,48,11,0,1913,1913, ,0,M,0.0,0.00,29.44,30.18,7.4,7,8.4
2008-05-25,1,78,44,61,-1,50,57,4,0,1914,1914,TSRA,0,M,0.0,  T,29.18,29.93,10.3,18,11.9
